Category,Crop,QueryType,QueryText,KCCAns
Vegetables,Chillies,Plant Protection,Flower Drop?,Spray Plano fix 5ml + CA 20 GM + BO 20 GM /15 Lit of Water.Blue copper -40 gm + MICROLLA 30 GM/15 lit water.
Fiber Crops,Cotton (Kapas),Plant Protection,Fungus Attack,Spray Bavistine 30gm/15lit of Water.
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Banana,Vegetative Propagation and Tissue Culture,SEASON OF BANANA,SEASON OF BANANA = SEP- JANEVARI
Fruits,Pomegranate,Plant Protection,Asked About SMS Activation?,Your SMS Registration process successfully completed
Others,Others,Weather,Asked about weather forecasting?,"Partly cloudy, no possibility of rain"
Vegetables,Onion,Nutrient Management,fertilizer dose for onion ?,fertilizer dose for onion- give 10;26;26 100 kg + urea 30 kg + sulphar 10 kg /acer
Vegetables,Onion,Market Information,market information ?,onion - 500-2100
Flowers,Tuberose,Agriculture Mechanization,planting time of tuberose,planting time of tuberose- april-may
Cereals,Wheat,Fertilizer Use and Availability,Fertilizer Dose –,Spray Microlla 30 ml/15 Lit of Water.
Fruits,Pomegranate,Agriculture Mechanization,spray for flowering of pomegranate,spray for flowering of pomegranate -Spray Boom flower 30 ml+ 00:52:34 75 gm + microla 40 ml / 15 Lit of Water.
Others,Others,Government Schemes,Govt Schemes- subsidies?,for subsidies please visit TAO office
Fruits,Banana,Plant Protection,attack of blight on banana ?,spray tilt 15 ml / liter of water for banana
Vegetables,Onion,Market Information,ONION MARKET RATE,ONION MARKET RATE-1400-2500 RS /QU
Others,Others,Weather,weather forcast?,dhagal watavan ahe pavasachi shakyata nahi
Vegetables,Drum Stick,Plant Protection,CATTER PILER ON DRUMSTICK ?,CATTER PILER ON DRUMSTICK - SPRAY TRIAZOPHOS
Vegetables,Onion,Nutrient Management,asked about groth retardant in onion ?,spray lihocin 60 ml / 15 liter of water for onion after 2 month of plantation
Others,Others,Weather,WEATHER REPORT?,cloudy and there are no possibility of rains.
Others,Others,Weather,Asking about Weather information?,Cloudy Weather NO possibility Rainfall.
Vegetables,Tomato,Plant Protection,for growth of tomato crop?,spray 19:19:19 50 gram + microlla 30 mili + humic acid 30 mili in 15 lit of water
Others,Others,Fertilizer Use and Availability,fertilizer info.,00;52;34 wapar kara
Fruits,Pomegranate,Fertilizer Use and Availability,fertilizern info.,00;52;34 wapar kara
Fruits,Pomegranate,Fertilizer Use and Availability,FERTILIZER FOR POMOGRANATE?,00:52:34 5GRAM/LITER FAVARAVE
Fruits,Guava,Plant Protection,attack pest,blue capar wapar kara
Fruits,Guava,Plant Protection,CERCOSPORA ON GUAVA?,SPRAY COPER HYDROXIDE 2.5GRAM/LITER FAVARAVE
Pulses,Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Varieties,varieties of gram,"vishal , virat , vijay"
Fruits,Pomegranate,Plant Protection,nutrient dose for pomegranate,spray of tonic 2 ml per pump on pomegranate
Vegetables,Brinjal,Plant Protection,Powdery Mildew Attack?,Spray Bavistine 30gm/15lit of Water.
Others,Others,Weather,Asking about Weather information?,"Partly cloudy, possibility with light rain."
Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,fertilizer dose,apply 100 kilo urea + 100 kilo 10 26 26 + 50 kilo neem powder + 20 kilo micronutrient/acre
Vegetables,Tomato,Nutrient Management,fertilizer dose for tomato,spray of 0:52:34 60 gm + microla 25 ml per pump
Fruits,Papaya,Agriculture Mechanization,papaya market rate,papaya market rate - 700 -1600 rs /qit
Sugar and Starch Crops,Sugarcane (Noble Cane),Agriculture Mechanization,fertilizer dose for sugarcane,Any
